#,Player,Role,IPL Team,Type, Base Price , Buy Price ,Bought By
1,Abhinandan Singh,Bowler,Bengaluru,Uncapped,0.25,,
2,Bhuvneshwar Kumar,Bowler,Bengaluru,Capped,0.25,,
3,Devdutt Padikkal,Batsman,Bengaluru,Capped,0.25,,
4,Jacob Bethell,All-Rounder,Bengaluru,Overseas,0.25,,
5,Jacob Duffy,Bowler,Bengaluru,Overseas,0.25,,
6,Jitesh Sharma,Wicketkeeper,Bengaluru,Capped,0.25,,
7,Jordan Cox,Wicketkeeper,Bengaluru,Overseas,0.25,,
8,Josh Hazlewood,Bowler,Bengaluru,Overseas,0.25,,
9,Kanishk Chouhan,Batsman,Bengaluru,Uncapped,0.25,,
10,Krunal Pandya,All-Rounder,Bengaluru,Capped,0.25,,
11,Mangesh Yadav,All-Rounder,Bengaluru,Uncapped,0.25,,
12,Nuwan Thushara,Bowler,Bengaluru,Overseas,0.25,,
13,Philip Salt,Wicketkeeper,Bengaluru,Overseas,0.25,,
14,Rajat Patidar,Batsman,Bengaluru,Capped,0.25,,
15,Rasikh Salam Dar,Bowler,Bengaluru,Uncapped,0.25,,
16,Romario Shepherd,All-Rounder,Bengaluru,Overseas,0.25,,
17,Satvik Deswal,All-Rounder,Bengaluru,Uncapped,0.25,,
18,Suyash Sharma,Bowler,Bengaluru,Uncapped,0.25,,
19,Swapnil Singh,All-Rounder,Bengaluru,Uncapped,0.25,,
20,Tim David,Batsman,Bengaluru,Overseas,0.25,,
21,Venkatesh Iyer,All-Rounder,Bengaluru,Capped,0.25,,
22,Vicky Ostwal,Bowler,Bengaluru,Uncapped,0.25,,
23,Vihaan Malhotra,Batsman,Bengaluru,Uncapped,0.25,,
24,Virat Kohli,Batsman,Bengaluru,Capped,0.25,,
25,Akeal Hosein,Bowler,Chennai,Overseas,0.25,,
26,Anshul Kamboj,Bowler,Chennai,Capped ,0.25,,
27,Ayush Mhatre,Batsman,Chennai,Uncapped,0.25,,
28,Dewald Brevis,Batsman,Chennai,Overseas,0.25,,
29,Gurjapneet Singh,Bowler,Chennai,Uncapped,0.25,,
30,Jamie Overton,All-Rounder,Chennai,Overseas,0.25,,
31,Kartik Sharma,Wicketkeeper,Chennai,Uncapped,0.25,,
32,Khaleel Ahmed,Bowler,Chennai,Capped,0.25,,
33,Matt Henry,Bowler,Chennai,Overseas,0.25,,
34,Matthew Short,All-Rounder,Chennai,Overseas,0.25,,
35,MS Dhoni,Wicketkeeper,Chennai,Uncapped ,0.25,,
36,Mukesh Choudhary,Bowler,Chennai,Uncapped,0.25,,
37,Noor Ahmad,Bowler,Chennai,Overseas,0.25,,
38,Prashant Veer,All-Rounder,Chennai,Uncapped,0.25,,
39,Rahul Chahar,Bowler,Chennai,Capped,0.25,,
40,Zakary Foulkes,All-Rounder,Chennai,Overseas,0.25,,
41,Aman Khan,All-Rounder,Chennai,Uncapped ,0.25,,
42,Ramakrishna Ghosh,All-Rounder,Chennai,Uncapped,0.25,,
43,Ruturaj Gaikwad,Batsman,Chennai,Capped,0.25,,
44,Sanju Samson,Wicketkeeper,Chennai,Capped,0.25,,
45,Sarfaraz Khan,Batsman,Chennai,Capped,0.25,,
46,Shivam Dube,All-Rounder,Chennai,Capped,0.25,,
47,Shreyas Gopal,Bowler,Chennai,Uncapped,0.25,,
48,Spencer Johnson,Bowler,Chennai,Overseas,0.25,,
49,Urvil Patel,Wicketkeeper,Chennai,Uncapped,0.25,,
50,Abishek Porel,Wicketkeeper,Delhi,Uncapped,0.25,,
51,Ajay Jadav Mandal,All-Rounder,Delhi,Uncapped,0.25,,
52,Ashutosh Sharma,All-Rounder,Delhi,Uncapped,0.25,,
53,Auqib Nabi Dar,All-Rounder,Delhi,Uncapped,0.25,,
54,Axar Patel,All-Rounder,Delhi,Capped,0.25,,
55,David Miller,Batsman,Delhi,Overseas,0.25,,
56,Dushmantha Chameera,Bowler,Delhi,Overseas,0.25,,
57,Karun Nair,Batsman,Delhi,Capped,0.25,,
58,KL Rahul,Wicketkeeper,Delhi,Capped,0.25,,
59,Kuldeep Yadav,Bowler,Delhi,Capped,0.25,,
60,Kyle Jamieson,Bowler,Delhi,Overseas,0.25,,
61,Lungi Ngidi,Bowler,Delhi,Overseas,0.25,,
62,Madhav Tiwari,All-Rounder,Delhi,Uncapped,0.25,,
63,Mitchell Starc,Bowler,Delhi,Overseas,0.25,,
64,Mukesh Kumar,Bowler,Delhi,Capped,0.25,,
65,Nitish Rana,Batsman,Delhi,Capped,0.25,,
66,Prithvi Shaw,Batsman,Delhi,Capped ,0.25,,
67,Pathum Nissanka,Batsman,Delhi,Overseas,0.25,,
68,Sahil Parakh,Batsman,Delhi,Uncapped,0.25,,
69,Sameer Rizvi,Batsman,Delhi,Uncapped,0.25,,
70,T Natarajan,Bowler,Delhi,Capped,0.25,,
71,Tripurana Vijay,All-Rounder,Delhi,Uncapped,0.25,,
72,Tristan Stubbs,Wicketkeeper,Delhi,Overseas,0.25,,
73,Vipraj Nigam,All-Rounder,Delhi,Uncapped,0.25,,
74,Anuj Rawat,Wicketkeeper,Gujarat,Uncapped ,0.25,,
75,Arshad Khan,All-Rounder,Gujarat,Uncapped ,0.25,,
76,Ashok Sharma,Bowler,Gujarat,Uncapped,0.25,,
77,Glenn Phillips,All-Rounder,Gujarat,Overseas,0.25,,
78,Gurnoor Brar,Bowler,Gujarat,Uncapped,0.25,,
79,Ishant Sharma,Bowler,Gujarat,Capped ,0.25,,
80,Jason Holder,All-Rounder,Gujarat,Overseas,0.25,,
81,Jayant Yadav,All-Rounder,Gujarat,Capped,0.25,,
82,Jos Buttler,Wicketkeeper,Gujarat,Overseas,0.25,,
83,Kagiso Rabada,Bowler,Gujarat,Overseas,0.25,,
84,Kulwant Khejroliya,Bowler,Gujarat,Uncapped,0.25,,
85,Kumar Kushagra,Wicketkeeper,Gujarat,Uncapped,0.25,,
86,Luke Wood,Bowler,Gujarat,Overseas,0.25,,
87,Manav Suthar,Bowler,Gujarat,Uncapped,0.25,,
88,Mohammed Siraj,Bowler,Gujarat,Capped,0.25,,
89,Nishant Sindhu,All-Rounder,Gujarat,Uncapped,0.25,,
90,Prasidh Krishna,Bowler,Gujarat,Capped,0.25,,
91,Prithvi Raj Yarra,Bowler,Gujarat,Uncapped,0.25,,
92,Rahul Tewatia,All-Rounder,Gujarat,Capped,0.25,,
93,Rashid Khan,All-Rounder,Gujarat,Overseas,0.25,,
94,Ravisrinivasan Sai Kishore,All-Rounder,Gujarat,Capped,0.25,,
95,Sai Sudharsan,Batsman,Gujarat,Capped,0.25,,
96,Shahrukh Khan,All-Rounder,Gujarat,Uncapped ,0.25,,
97,Shubman Gill,Batsman,Gujarat,Capped,0.25,,
98,Tom Banton,Wicketkeeper,Gujarat,Overseas,0.25,,
99,Washington Sundar,All-Rounder,Gujarat,Capped,0.25,,
100,Abhishek Sharma,All-Rounder,Hyderabad,Capped,0.25,,
101,Amit Kumar,Batsman,Hyderabad,Uncapped,0.25,,
102,Aniket Verma,Batsman,Hyderabad,Uncapped,0.25,,
103,Brydon Carse,Bowler,Hyderabad,Overseas,0.25,,
104,David Payne,Bowler,Hyderabad,Overseas,0.25,,
105,Eshan Malinga,Bowler,Hyderabad,Overseas,0.25,,
106,Harsh Dubey,All-Rounder,Hyderabad,Uncapped,0.25,,
107,Harshal Patel,Bowler,Hyderabad,Capped,0.25,,
108,Heinrich Klaasen,Wicketkeeper,Hyderabad,Overseas,0.25,,
109,Ishan Kishan,Wicketkeeper,Hyderabad,Capped,0.25,,
110,Jaydev Unadkat,Bowler,Hyderabad,Capped,0.25,,
111,Kamindu Mendis,All-Rounder,Hyderabad,Overseas,0.25,,
112,Krains Fuletra,Bowler,Hyderabad,Uncapped,0.25,,
113,Liam Livingstone,All-Rounder,Hyderabad,Overseas,0.25,,
114,Nitish Kumar Reddy,All-Rounder,Hyderabad,Capped,0.25,,
115,Onkar Tukaram Tarmale,Bowler,Hyderabad,Uncapped,0.25,,
116,Pat Cummins,Bowler,Hyderabad,Overseas,0.25,,
117,Praful Hinge,Bowler,Hyderabad,Uncapped,0.25,,
118,Sakib Hussain,Bowler,Hyderabad,Uncapped,0.25,,
119,Salil Arora,Wicketkeeper,Hyderabad,Uncapped,0.25,,
120,Shivam Mavi,Bowler,Hyderabad,Capped,0.25,,
121,Shivang Kumar,All-Rounder,Hyderabad,Uncapped,0.25,,
